violation_id,timestamp,latitude,longitude,zone,severity,violation_type,driver_id,driver_name,driver_initials,driver_category,driver_company,driver_risk_score,driver_risk_label,driver_status,driver_status_label
V-005132,2026-05-19T08:44,25.25363,55.39638,Al Rashidiya,high,Route Deviation,D-01098,Hassan Al Dhaheri,HD,Taxi,National Taxi,6.8,High Risk,suspended,Suspended
V-013413,2026-05-19T08:44,25.24701,55.38002,Al Rashidiya,low,Driver Fatigue,D-02825,Mansour Al Mansouri,MM,Limousine & E-Hail,Al Ghazal Transport,8.8,Critical,suspended,Suspended
V-009652,2026-05-19T08:23,25.11896,55.21329,Al Barsha,high,Distraction,D-02054,Zayed Al Mazrouei,ZM,School Bus,Al Reef School Transport,6.5,High Risk,active,Active
V-010468,2026-05-19T08:20,25.30993,55.39778,Al Qusais,moderate,Lane Violation,D-02205,Amer Al Naqbi,AN,School Bus,Al Reef School Transport,2.5,Low Risk,active,Active
V-004645,2026-05-19T08:13,25.16896,55.23875,Al Quoz,low,Distraction,D-00985,Rashid Al Jaberi,RJ,Taxi,Dubai Taxi Corp,8.5,Critical,suspended,Suspended
V-007767,2026-05-19T08:12,25.21381,55.28591,Downtown Dubai,low,Route Deviation,D-01641,Marwan Al Tamimi,MT,Public Bus,Dubai Transport Co.,2.5,Low Risk,active,Active
V-000882,2026-05-19T08:11,25.00331,55.17964,Dubai Investment Park,high,Driver Fatigue,D-00194,Walid Al Suwaidi,WS,Taxi,Metro Taxi,9.1,Critical,suspended,Suspended
V-005820,2026-05-19T08:05,25.19974,55.27104,Business Bay,high,Camera Tampering,D-01236,Ammar Al Qasimi,AQ,Public Bus,Dubai Transport Co.,6.3,Moderate,active,Active
V-002709,2026-05-19T07:54,25.20595,55.26748,Downtown Dubai,moderate,Phone Use,D-00569,Mohammed Al Ameri,MA,Taxi,Dubai Taxi Corp,2.0,Low Risk,active,Active
V-007531,2026-05-19T07:39,24.97438,55.06574,Jebel Ali,low,Speeding,D-01593,Sami Al Sharqi,SS,Public Bus,Dubai Transport Co.,4.1,Moderate,active,Active
V-015885,2026-05-19T07:32,25.08468,55.15332,Dubai Marina,moderate,Harsh Braking,D-03354,Khalifa Al Qasimi,KQ,Hourly Rental,Hertz UAE,6.5,High Risk,active,Active
V-002703,2026-05-19T07:27,25.14036,55.3794,Silicon Oasis,low,Harsh Braking,D-00567,Tamer Al Ali,TA,Taxi,Al Naboodah Taxi,3.4,Low Risk,active,Active
V-011503,2026-05-19T07:21,24.98665,55.15391,Dubai Investment Park,moderate,Driver Fatigue,D-02455,Hamdan Al Nuaimi,HN,Limousine & E-Hail,Emirates Limousine,0.6,Low Risk,active,Active
V-010671,2026-05-19T07:09,25.07995,55.12229,JBR,moderate,Speeding,D-02240,Rakan Al Shehhi,RS,Limousine & E-Hail,Al Ghazal Transport,5.0,Moderate,active,Active
V-008235,2026-05-19T07:04,25.27884,55.34399,Deira,low,Lane Violation,D-01736,Hussein Al Suwaidi,HS,Public Bus,RTA Public Transport,6.6,High Risk,active,Active
V-011538,2026-05-19T07:03,25.23503,55.43709,Mirdif,low,Speeding,D-02461,Mubarak Al Dhaheri,MD,Limousine & E-Hail,Emirates Limousine,5.5,Moderate,active,Active
V-016417,2026-05-19T06:53,25.08405,55.1227,JBR,moderate,Harsh Braking,D-03469,Ammar Al Rashidi,AR,Hourly Rental,Avis Dubai,4.9,Moderate,active,Active
V-014311,2026-05-19T06:49,25.2811,55.40208,Al Qusais,moderate,Harsh Braking,D-03027,Nasser Al Mehairi,NM,Marine,Emirates Marine Transport,5.8,Moderate,active,Active
V-002331,2026-05-19T06:43,25.25714,55.31576,Deira,low,Speeding,D-00493,Saif Al Naqbi,SN,Taxi,Al Naboodah Taxi,9.9,Critical,active,Active
V-005799,2026-05-19T06:22,25.17116,55.21998,Al Quoz,low,Phone Use,D-01229,Amer Al Bastaki,AB,Public Bus,RTA Public Transport,7.6,High Risk,active,Active
V-014316,2026-05-19T05:50,25.07362,55.14173,Dubai Marina,moderate,Speeding,D-03028,Yousef Al Mehairi,YM,Marine,Emirates Marine Transport,3.4,Low Risk,active,Active
V-010458,2026-05-19T05:45,25.19712,55.29026,Downtown Dubai,high,Harsh Braking,D-02201,Ibrahim Al Awadhi,IA,School Bus,GEMS Transport,7.6,High Risk,active,Active
V-013069,2026-05-19T05:39,25.20304,55.22984,Jumeirah,moderate,Speeding,D-02749,Walid Al Mahmoud,WM,Limousine & E-Hail,Uber Dubai,3.1,Low Risk,active,Active
V-015071,2026-05-19T05:35,25.19941,55.25803,Business Bay,moderate,Speeding,D-03179,Sami Al Rashidi,SR,Hourly Rental,Europcar,9.3,Critical,suspended,Suspended
V-007398,2026-05-19T05:33,25.21735,55.42603,Mirdif,moderate,Idling,D-01562,Saeed Al Mazrouei,SM,Public Bus,Dubai Transport Co.,8.2,Critical,active,Active
V-015018,2026-05-19T05:33,25.07958,55.12901,JBR,high,Speeding,D-03164,Hassan Bin Hamad,HH,Hourly Rental,Europcar,7.1,High Risk,active,Active
V-006417,2026-05-19T05:29,25.13379,55.39673,Silicon Oasis,low,Idling,D-01351,Younes Al Mulla,YM,Public Bus,RTA Public Transport,1.6,Low Risk,active,Active
V-010769,2026-05-19T05:27,25.24297,55.3729,Al Rashidiya,moderate,Harsh Braking,D-02264,Mansour Al Suwaidi,MS,Limousine & E-Hail,Al Ghazal Transport,6.4,Moderate,active,Active
V-009906,2026-05-19T05:20,25.24191,55.42248,Mirdif,low,Harsh Braking,D-02109,Faisal Al Dhaheri,FD,School Bus,GEMS Transport,8.9,Critical,suspended,Suspended
V-007314,2026-05-19T05:18,25.22128,55.40933,Mirdif,low,Route Deviation,D-01541,Yusuf Al Mehairi,YM,Public Bus,RTA Public Transport,2.7,Low Risk,active,Active
V-011935,2026-05-19T05:09,24.98269,55.15782,Dubai Investment Park,low,Driver Fatigue,D-02534,Amer Al Ameri,AA,Limousine & E-Hail,Emirates Limousine,3.9,Moderate,active,Active
V-014908,2026-05-19T05:05,25.28069,55.33678,Deira,low,Route Deviation,D-03138,Nayef Al Sharqi,NS,Marine,Dubai Ferry Services,6.2,Moderate,active,Active
V-007276,2026-05-19T05:02,25.13994,55.40865,Silicon Oasis,moderate,Phone Use,D-01526,Hani Al Suwaidi,HS,Public Bus,Dubai Transport Co.,8.5,Critical,suspended,Suspended
V-009151,2026-05-19T04:58,25.20552,55.28933,Downtown Dubai,high,Driver Fatigue,D-01968,Obaid Al Mansoori,OM,School Bus,GEMS Transport,8.2,Critical,active,Active
V-005284,2026-05-19T04:56,25.25742,55.34412,Deira,moderate,Idling,D-01130,Maher Al Mehairi,MM,Taxi,National Taxi,7.4,High Risk,investigation,Under Investigation
V-013058,2026-05-19T04:47,25.19214,55.25527,Business Bay,low,Distraction,D-02746,Majid Al Shehhi,MS,Limousine & E-Hail,Emirates Limousine,1.5,Low Risk,active,Active
V-005060,2026-05-19T04:42,25.19213,55.25954,Business Bay,low,Idling,D-01081,Fahad Al Rashidi,FR,Taxi,Dubai Taxi Corp,5.2,Moderate,active,Active
V-001557,2026-05-19T04:20,25.12874,55.2124,Al Barsha,high,Harsh Braking,D-00332,Ali Al Ameri,AA,Taxi,Cars Taxi,9.1,Critical,active,Active
V-016321,2026-05-19T04:17,25.26089,55.30625,Deira,high,Route Deviation,D-03452,Riyad Al Sayegh,RS,Hourly Rental,Avis Dubai,5.1,Moderate,active,Active
V-007959,2026-05-19T04:09,25.29637,55.40575,Al Qusais,low,Lane Violation,D-01689,Tariq Al Zaabi,TZ,Public Bus,Dubai Transport Co.,6.1,Moderate,active,Active
V-011923,2026-05-19T04:06,25.14331,55.22228,Al Quoz,low,Phone Use,D-02533,Khalid Al Mehairi,KM,Limousine & E-Hail,Emirates Limousine,5.2,Moderate,active,Active
V-015908,2026-05-19T04:04,25.20571,55.29048,Downtown Dubai,moderate,Camera Tampering,D-03358,Younes Al Maktoum,YM,Hourly Rental,Sixt UAE,1.4,Low Risk,active,Active
V-013750,2026-05-19T04:00,25.30823,55.42849,Al Qusais,high,Camera Tampering,D-02888,Mansour Al Hashimi,MH,Limousine & E-Hail,Al Ghazal Transport,6.1,Moderate,active,Active
V-006107,2026-05-19T03:55,25.13272,55.19402,Al Barsha,low,Idling,D-01289,Hisham Al Hashimi,HH,Public Bus,Dubai Transport Co.,9.1,Critical,suspended,Suspended
V-010078,2026-05-19T03:54,25.12066,55.20507,Al Barsha,low,Distraction,D-02139,Bader Al Otaiba,BO,School Bus,Al Mawakeb Transport,8.5,Critical,investigation,Under Investigation
V-000571,2026-05-19T03:43,25.19215,55.26295,Business Bay,low,Phone Use,D-00140,Younes Al Hosani,YH,Taxi,Emirates Taxi LLC,0.9,Low Risk,active,Active
V-016424,2026-05-19T03:35,25.0905,55.1339,JBR,high,Red Light,D-03471,Hassan Al Nuaimi,HN,Hourly Rental,Avis Dubai,3.8,Moderate,active,Active
V-007044,2026-05-19T03:32,25.18429,55.28115,Downtown Dubai,low,Harsh Braking,D-01481,Riyad Al Maktoum,RM,Public Bus,Dubai Transport Co.,2.1,Low Risk,active,Active
V-015338,2026-05-19T03:32,25.28455,55.32709,Deira,high,Camera Tampering,D-03233,Mohammed Al Rashidi,MR,Hourly Rental,Europcar,7.4,High Risk,active,Active
V-012254,2026-05-19T03:27,25.20947,55.28547,Downtown Dubai,moderate,Speeding,D-02593,Mohammed Al Mansouri,MM,Limousine & E-Hail,Emirates Limousine,8.2,Critical,investigation,Under Investigation
V-006449,2026-05-19T03:15,25.18294,55.22954,Jumeirah,moderate,Phone Use,D-01364,Karim Al Mansoori,KM,Public Bus,Dubai Transport Co.,5.9,Moderate,active,Active
V-009056,2026-05-19T02:57,25.30244,55.38758,Al Qusais,low,Harsh Braking,D-01947,Walid Al Dhaheri,WD,School Bus,GEMS Transport,6.2,Moderate,active,Active
V-001061,2026-05-19T02:35,25.18728,55.27097,Business Bay,moderate,Phone Use,D-00237,Hassan Al Zaabi,HZ,Taxi,Al Naboodah Taxi,7.2,High Risk,active,Active
V-013422,2026-05-19T02:35,25.19312,55.26612,Business Bay,low,Harsh Braking,D-02825,Mansour Al Mansouri,MM,Limousine & E-Hail,Al Ghazal Transport,8.8,Critical,suspended,Suspended
V-012283,2026-05-19T02:27,25.2294,55.43158,Mirdif,moderate,Driver Fatigue,D-02594,Yousef Al Hashimi,YH,Limousine & E-Hail,Careem Fleet,8.6,Critical,investigation,Under Investigation
V-010869,2026-05-19T02:21,25.1899,55.2095,Jumeirah,high,Speeding,D-02294,Khalid Al Ali,KA,Limousine & E-Hail,Al Ghazal Transport,6.9,High Risk,active,Active
V-015610,2026-05-19T02:16,25.28133,55.34349,Deira,moderate,Speeding,D-03298,Walid Al Shamsi,WS,Hourly Rental,Budget Rent-a-Car,7.3,High Risk,active,Active
V-015150,2026-05-19T02:14,25.05359,55.21812,Dubai Sports City,low,Harsh Braking,D-03193,Abdullah Al Hashemi,AH,Hourly Rental,Avis Dubai,5.7,Moderate,active,Active
V-001761,2026-05-19T02:10,25.06988,55.14139,Dubai Marina,low,Speeding,D-00380,Yusuf Al Rashidi,YR,Taxi,Emirates Taxi LLC,9.9,Critical,suspended,Suspended
V-016412,2026-05-19T02:03,25.25531,55.38051,Al Rashidiya,low,Speeding,D-03469,Ammar Al Rashidi,AR,Hourly Rental,Avis Dubai,4.9,Moderate,active,Active
V-015466,2026-05-19T01:58,25.25998,55.31238,Deira,high,Driver Fatigue,D-03259,Bader Al Falasi,BF,Hourly Rental,Budget Rent-a-Car,4.3,Moderate,investigation,Under Investigation
V-001245,2026-05-19T01:49,25.25609,55.32348,Deira,moderate,Harsh Braking,D-00276,Saif Al Hosani,SH,Taxi,Dubai Taxi Corp,5.6,Moderate,active,Active
V-007991,2026-05-19T01:45,25.11229,55.20841,Al Barsha,low,Idling,D-01693,Karim Al Mazrouei,KM,Public Bus,Dubai Transport Co.,9.7,Critical,suspended,Suspended
V-015504,2026-05-19T01:40,25.06744,55.14752,Dubai Marina,low,Route Deviation,D-03267,Majid Al Khouri,MK,Hourly Rental,Europcar,6.2,Moderate,investigation,Under Investigation
V-001658,2026-05-19T01:25,25.08178,55.12163,JBR,high,Speeding,D-00352,Amer Al Mehrezi,AM,Taxi,Dubai Taxi Corp,8.8,Critical,suspended,Suspended
V-001359,2026-05-19T01:22,25.17159,55.2472,Al Quoz,high,Camera Tampering,D-00298,Ziad Al Ali,ZA,Taxi,Dubai Taxi Corp,9.8,Critical,active,Active
V-012713,2026-05-19T01:22,25.08889,55.14463,Dubai Marina,moderate,Harsh Braking,D-02693,Faisal Al Ameri,FA,Limousine & E-Hail,Emirates Limousine,6.8,High Risk,investigation,Under Investigation
V-003435,2026-05-19T01:08,25.0602,55.13335,Dubai Marina,high,Red Light,D-00719,Jassim Al Shamsi,JS,Taxi,National Taxi,6.0,Moderate,active,Active
V-012079,2026-05-19T01:00,25.11052,55.19571,Al Barsha,moderate,Driver Fatigue,D-02563,Fadi Al Zaabi,FZ,Limousine & E-Hail,Al Ghazal Transport,6.8,High Risk,active,Active
V-011569,2026-05-19T00:58,25.06841,55.14836,Dubai Marina,low,Driver Fatigue,D-02466,Jassim Al Zaabi,JZ,Limousine & E-Hail,Careem Fleet,4.4,Moderate,active,Active
V-011317,2026-05-19T00:56,25.18744,55.25554,Business Bay,high,Red Light,D-02409,Sultan Al Mulla,SM,Limousine & E-Hail,Careem Fleet,9.4,Critical,suspended,Suspended
V-004302,2026-05-19T00:47,25.187,55.28085,Downtown Dubai,low,Speeding,D-00906,Mansour Al Sharqi,MS,Taxi,Metro Taxi,6.4,Moderate,active,Active
V-008371,2026-05-19T00:46,25.28934,55.32933,Deira,low,Speeding,D-01773,Karim Al Rashidi,KR,School Bus,GEMS Transport,6.1,Moderate,active,Active
V-010423,2026-05-19T00:46,25.12211,55.20667,Al Barsha,low,Route Deviation,D-02191,Saeed Al Ali,SA,School Bus,GEMS Transport,6.0,Moderate,active,Active
V-007321,2026-05-19T00:44,25.27339,55.34879,Deira,low,Lane Violation,D-01542,Bader Al Dhaheri,BD,Public Bus,Dubai Transport Co.,6.4,Moderate,investigation,Under Investigation
V-003620,2026-05-19T00:37,25.20351,55.26392,Downtown Dubai,high,Route Deviation,D-00756,Hamdan Al Maktoum,HM,Taxi,Metro Taxi,9.4,Critical,suspended,Suspended
V-001649,2026-05-19T00:33,25.27363,55.33259,Deira,high,Phone Use,D-00352,Amer Al Mehrezi,AM,Taxi,Dubai Taxi Corp,8.8,Critical,suspended,Suspended
V-004504,2026-05-19T00:28,25.08376,55.11847,JBR,low,Harsh Braking,D-00951,Ali Bin Hamad,AH,Taxi,Dubai Taxi Corp,3.9,Moderate,active,Active
V-007604,2026-05-19T00:26,25.07525,55.15962,Dubai Marina,moderate,Driver Fatigue,D-01609,Saif Al Jaberi,SJ,Public Bus,RTA Public Transport,8.0,Critical,suspended,Suspended
V-002078,2026-05-19T00:22,25.12896,55.21626,Al Barsha,moderate,Speeding,D-00454,Hamdan Bin Hamad,HH,Taxi,Metro Taxi,7.1,High Risk,investigation,Under Investigation
V-005881,2026-05-19T00:14,25.1866,55.27173,Business Bay,high,Driver Fatigue,D-01250,Hussein Al Mahmoud,HM,Public Bus,RTA Public Transport,6.2,Moderate,active,Active
V-009955,2026-05-19T00:11,25.18803,55.25693,Business Bay,low,Harsh Braking,D-02116,Nayef Al Shehhi,NS,School Bus,GEMS Transport,2.7,Low Risk,active,Active
V-004121,2026-05-19T00:07,25.19658,55.27246,Business Bay,high,Phone Use,D-00866,Rashid Al Suwaidi,RS,Taxi,Dubai Taxi Corp,8.6,Critical,suspended,Suspended
V-008331,2026-05-19T00:04,25.19332,55.26327,Business Bay,high,Speeding,D-01761,Ahmed Al Ali,AA,School Bus,Al Reef School Transport,5.3,Moderate,investigation,Under Investigation
V-011191,2026-05-18T23:51,25.24198,55.41655,Mirdif,high,Speeding,D-02383,Yusuf Al Falasi,YF,Limousine & E-Hail,Emirates Limousine,6.6,High Risk,active,Active
V-009404,2026-05-18T23:41,25.09207,55.12117,JBR,high,Driver Fatigue,D-02011,Bandar Al Mehrezi,BM,School Bus,Al Reef School Transport,9.7,Critical,investigation,Under Investigation
V-013577,2026-05-18T23:39,25.19298,55.25762,Business Bay,low,Speeding,D-02858,Majid Al Sayegh,MS,Limousine & E-Hail,Emirates Limousine,5.1,Moderate,active,Active
V-014178,2026-05-18T23:38,25.21105,55.26056,Downtown Dubai,low,Harsh Braking,D-02990,Maher Bin Hamad,MH,Marine,Emirates Marine Transport,3.3,Low Risk,active,Active
V-004567,2026-05-18T23:36,25.28973,55.31405,Deira,low,Harsh Braking,D-00966,Bandar Al Tamimi,BT,Taxi,Cars Taxi,5.5,Moderate,active,Active
V-006588,2026-05-18T23:31,25.20335,55.24153,Jumeirah,low,Harsh Braking,D-01393,Zayed Al Hashemi,ZH,Public Bus,Dubai Transport Co.,1.1,Low Risk,active,Active
V-001896,2026-05-18T23:22,25.28018,55.31586,Deira,moderate,Phone Use,D-00414,Marwan Al Hosani,MH,Taxi,Dubai Taxi Corp,6.0,Moderate,active,Active
V-003965,2026-05-18T23:17,25.23929,55.44289,Mirdif,moderate,Speeding,D-00829,Talal Al Marri,TM,Taxi,Dubai Taxi Corp,5.2,Moderate,investigation,Under Investigation
V-011213,2026-05-18T23:17,25.27138,55.32691,Deira,low,Phone Use,D-02387,Yousef Al Otaiba,YO,Limousine & E-Hail,Emirates Limousine,3.9,Moderate,active,Active
V-013305,2026-05-18T23:09,25.28573,55.3075,Deira,high,Speeding,D-02807,Tamer Al Mahmoud,TM,Limousine & E-Hail,Careem Fleet,7.1,High Risk,active,Active
V-009912,2026-05-18T23:08,25.2782,55.38547,Al Qusais,moderate,Phone Use,D-02109,Faisal Al Dhaheri,FD,School Bus,GEMS Transport,8.9,Critical,suspended,Suspended
V-002966,2026-05-18T23:06,25.19763,55.26874,Business Bay,moderate,Driver Fatigue,D-00625,Ali Al Mehairi,AM,Taxi,Cars Taxi,6.1,Moderate,active,Active
V-010822,2026-05-18T23:06,25.1326,55.1938,Al Barsha,low,Phone Use,D-02280,Marwan Al Mansouri,MM,Limousine & E-Hail,Emirates Limousine,0.9,Low Risk,active,Active
V-011132,2026-05-18T22:56,25.19385,55.24245,Jumeirah,low,Speeding,D-02367,Ahmed Al Mahmoud,AM,Limousine & E-Hail,Careem Fleet,0.9,Low Risk,active,Active
V-013157,2026-05-18T22:52,25.04698,55.23975,Dubai Sports City,high,Camera Tampering,D-02765,Fahad Al Zaabi,FZ,Limousine & E-Hail,Careem Fleet,9.5,Critical,investigation,Under Investigation
V-006024,2026-05-18T22:46,25.28202,55.42111,Al Qusais,low,Idling,D-01276,Khalid Al Qasimi,KQ,Public Bus,Dubai Transport Co.,9.0,Critical,suspended,Suspended
V-007745,2026-05-18T22:45,25.30893,55.38848,Al Qusais,low,Phone Use,D-01636,Khalid Al Otaiba,KO,Public Bus,Dubai Transport Co.,9.6,Critical,suspended,Suspended
V-008319,2026-05-18T22:42,25.20078,55.29047,Downtown Dubai,low,Harsh Braking,D-01756,Rakan Al Jaberi,RJ,School Bus,Al Reef School Transport,5.3,Moderate,active,Active
V-007595,2026-05-18T22:26,24.99695,55.08159,Jebel Ali,low,Speeding,D-01606,Saif Al Falasi,SF,Public Bus,Dubai Transport Co.,1.9,Low Risk,active,Active
V-010266,2026-05-18T22:24,25.01525,55.15108,Dubai Investment Park,moderate,Speeding,D-02165,Hisham Al Dhaheri,HD,School Bus,GEMS Transport,6.4,Moderate,active,Active
V-013178,2026-05-18T22:24,25.21277,55.27195,Downtown Dubai,low,Harsh Braking,D-02771,Ahmed Al Hashemi,AH,Limousine & E-Hail,Uber Dubai,7.4,High Risk,investigation,Under Investigation
V-014450,2026-05-18T22:05,25.28812,55.31037,Deira,high,Red Light,D-03052,Hussein Al Mansoori,HM,Marine,Emirates Marine Transport,5.2,Moderate,investigation,Under Investigation
V-005262,2026-05-18T22:04,25.20392,55.23127,Jumeirah,high,Speeding,D-01126,Turki Al Sharqi,TS,Taxi,Cars Taxi,7.0,High Risk,suspended,Suspended
V-006858,2026-05-18T22:03,25.1947,55.26859,Business Bay,low,Phone Use,D-01444,Riyad Al Suwaidi,RS,Public Bus,RTA Public Transport,3.3,Low Risk,active,Active
V-011385,2026-05-18T22:03,25.2834,55.31215,Deira,low,Idling,D-02422,Nayef Al Khouri,NK,Limousine & E-Hail,Careem Fleet,2.9,Low Risk,active,Active
V-007875,2026-05-18T21:57,25.28869,55.30589,Deira,moderate,Phone Use,D-01673,Zayed Al Ali,ZA,Public Bus,Dubai Transport Co.,5.4,Moderate,active,Active
V-004348,2026-05-18T21:52,25.18804,55.27464,Downtown Dubai,moderate,Speeding,D-00920,Hamad Al Awadhi,HA,Taxi,Al Naboodah Taxi,5.7,Moderate,active,Active
V-008995,2026-05-18T21:40,25.28247,55.31087,Deira,moderate,Driver Fatigue,D-01924,Omar Al Bastaki,OB,School Bus,GEMS Transport,7.8,High Risk,active,Active
V-002159,2026-05-18T21:36,25.24524,55.39868,Al Rashidiya,low,Lane Violation,D-00465,Saeed Al Suwaidi,SS,Taxi,Emirates Taxi LLC,0.7,Low Risk,active,Active
V-012945,2026-05-18T21:30,25.27234,55.34951,Deira,moderate,Phone Use,D-02724,Yousef Al Suwaidi,YS,Limousine & E-Hail,Uber Dubai,5.8,Moderate,active,Active
V-000028,2026-05-18T21:27,25.2308,55.38975,Al Rashidiya,high,Route Deviation,D-00009,Turki Al Bastaki,TB,Taxi,Dubai Taxi Corp,7.8,High Risk,investigation,Under Investigation
V-011963,2026-05-18T21:23,25.26935,55.34924,Deira,high,Speeding,D-02535,Nayef Al Mazrouei,NM,Limousine & E-Hail,Uber Dubai,8.0,Critical,active,Active
V-014241,2026-05-18T21:21,25.18324,55.2923,Downtown Dubai,low,Route Deviation,D-03007,Adel Al Falasi,AF,Marine,Dubai Ferry Services,1.7,Low Risk,active,Active
V-005812,2026-05-18T21:17,25.19405,55.28779,Downtown Dubai,high,Red Light,D-01235,Salem Al Marri,SM,Public Bus,Dubai Transport Co.,5.8,Moderate,active,Active
V-015305,2026-05-18T21:14,25.18106,55.27629,Downtown Dubai,high,Speeding,D-03226,Rakan Al Dhaheri,RD,Hourly Rental,Budget Rent-a-Car,7.1,High Risk,active,Active
V-012926,2026-05-18T21:09,25.12372,55.20951,Al Barsha,high,Speeding,D-02723,Maher Al Mulla,MM,Limousine & E-Hail,Careem Fleet,8.3,Critical,suspended,Suspended
V-013686,2026-05-18T21:06,25.19821,55.23862,Jumeirah,low,Harsh Braking,D-02873,Younes Al Naqbi,YN,Limousine & E-Hail,Uber Dubai,5.2,Moderate,active,Active
V-009852,2026-05-18T20:56,25.08206,55.13127,Dubai Marina,low,Route Deviation,D-02093,Tariq Al Naqbi,TN,School Bus,Al Mawakeb Transport,6.7,High Risk,suspended,Suspended
V-003604,2026-05-18T20:35,25.07763,55.13657,Dubai Marina,low,Speeding,D-00756,Hamdan Al Maktoum,HM,Taxi,Metro Taxi,9.4,Critical,suspended,Suspended
V-012368,2026-05-18T20:32,25.04401,55.21908,Dubai Sports City,high,Speeding,D-02618,Maher Al Rashidi,MR,Limousine & E-Hail,Careem Fleet,6.9,High Risk,active,Active
V-013438,2026-05-18T20:23,25.13209,55.38961,Silicon Oasis,moderate,Phone Use,D-02828,Zayed Al Tamimi,ZT,Limousine & E-Hail,Al Ghazal Transport,7.3,High Risk,active,Active
V-002002,2026-05-18T20:22,25.18231,55.23044,Jumeirah,low,Speeding,D-00443,Sami Al Mehrezi,SM,Taxi,Emirates Taxi LLC,5.2,Moderate,active,Active
V-012934,2026-05-18T20:22,25.00446,55.07669,Jebel Ali,high,Speeding,D-02723,Maher Al Mulla,MM,Limousine & E-Hail,Careem Fleet,8.3,Critical,suspended,Suspended
V-005855,2026-05-18T20:04,25.13046,55.20348,Al Barsha,high,Red Light,D-01244,Sami Al Mansouri,SM,Public Bus,RTA Public Transport,7.9,High Risk,active,Active
V-015266,2026-05-18T20:03,25.06919,55.24189,Dubai Sports City,moderate,Harsh Braking,D-03220,Saif Al Jaberi,SJ,Hourly Rental,Sixt UAE,7.3,High Risk,active,Active
V-009649,2026-05-18T19:59,25.20404,55.26664,Downtown Dubai,low,Idling,D-02053,Riyad Al Kaabi,RK,School Bus,Al Mawakeb Transport,2.6,Low Risk,active,Active
V-007741,2026-05-18T19:45,25.08313,55.14625,Dubai Marina,high,Distraction,D-01636,Khalid Al Otaiba,KO,Public Bus,Dubai Transport Co.,9.6,Critical,suspended,Suspended
V-004719,2026-05-18T19:41,25.16261,55.21855,Al Quoz,low,Route Deviation,D-00998,Khalid Al Shamsi,KS,Taxi,Al Naboodah Taxi,6.0,Moderate,active,Active
V-008912,2026-05-18T19:36,25.21787,55.43763,Mirdif,low,Speeding,D-01910,Mubarak Al Ali,MA,School Bus,GEMS Transport,5.6,Moderate,active,Active
V-007873,2026-05-18T19:35,25.1962,55.26394,Business Bay,high,Camera Tampering,D-01673,Zayed Al Ali,ZA,Public Bus,Dubai Transport Co.,5.4,Moderate,active,Active
V-004858,2026-05-18T19:29,25.06156,55.16441,Dubai Marina,high,Harsh Braking,D-01031,Yousef Al Shamsi,YS,Taxi,Cars Taxi,8.1,Critical,investigation,Under Investigation
V-014956,2026-05-18T19:27,25.12206,55.39148,Silicon Oasis,low,Harsh Braking,D-03145,Mubarak Al Dhaheri,MD,Marine,Emirates Marine Transport,9.3,Critical,investigation,Under Investigation
V-016529,2026-05-18T19:14,25.29229,55.39423,Al Qusais,low,Harsh Braking,D-03498,Ammar Al Bastaki,AB,Hourly Rental,Sixt UAE,2.9,Low Risk,active,Active
V-006855,2026-05-18T19:12,25.2699,55.34052,Deira,high,Harsh Braking,D-01443,Ibrahim Al Jaberi,IJ,Public Bus,Dubai Transport Co.,9.5,Critical,suspended,Suspended
V-008862,2026-05-18T19:10,25.2622,55.31042,Deira,high,Phone Use,D-01901,Rashid Al Dhaheri,RD,School Bus,Al Mawakeb Transport,4.2,Moderate,investigation,Under Investigation
V-012681,2026-05-18T19:02,25.21191,55.27318,Downtown Dubai,moderate,Speeding,D-02689,Omar Al Hashemi,OH,Limousine & E-Hail,Al Ghazal Transport,7.9,High Risk,active,Active
V-006181,2026-05-18T18:59,25.19169,55.27816,Downtown Dubai,high,Speeding,D-01298,Obaid Al Mansouri,OM,Public Bus,RTA Public Transport,5.9,Moderate,active,Active
V-010133,2026-05-18T18:55,25.19071,55.25728,Business Bay,high,Harsh Braking,D-02143,Amer Al Khouri,AK,School Bus,Al Mawakeb Transport,7.6,High Risk,investigation,Under Investigation
V-005090,2026-05-18T18:52,25.26899,55.33946,Deira,high,Speeding,D-01090,Maher Al Bastaki,MB,Taxi,Dubai Taxi Corp,7.9,High Risk,investigation,Under Investigation
V-001449,2026-05-18T18:46,25.23857,55.37363,Al Rashidiya,moderate,Speeding,D-00312,Hassan Al Tamimi,HT,Taxi,Emirates Taxi LLC,2.1,Low Risk,active,Active
V-005995,2026-05-18T18:45,25.12119,55.2001,Al Barsha,high,Phone Use,D-01274,Omar Al Mansouri,OM,Public Bus,RTA Public Transport,9.8,Critical,investigation,Under Investigation
V-013100,2026-05-18T18:41,25.30131,55.39004,Al Qusais,high,Speeding,D-02753,Hussein Al Maktoum,HM,Limousine & E-Hail,Careem Fleet,6.7,High Risk,investigation,Under Investigation
V-002301,2026-05-18T18:29,25.05655,55.22285,Dubai Sports City,low,Speeding,D-00484,Sami Al Nuaimi,SN,Taxi,Metro Taxi,5.8,Moderate,active,Active
V-012312,2026-05-18T18:28,25.1186,55.21324,Al Barsha,low,Lane Violation,D-02603,Rakan Al Khouri,RK,Limousine & E-Hail,Al Ghazal Transport,1.2,Low Risk,active,Active
